model,HALV_acc,HAHV_acc,LALV_acc,LAHV_acc,N_acc,avg_acc,HALV_f1,HAHV_f1,LALV_f1,LAHV_f1,N_f1,avg_f1
RF,0.8821138211382114,0.7601626016260162,0.9471544715447154,0.9308943089430894,0.36585365853658536,0.7772357723577236,0.0,0.03278688524590164,0.0,0.2608695652173913,0.25,0.10873129009265858
Elastic,0.8821138211382114,0.7804878048780488,0.9471544715447154,0.9186991869918699,0.12195121951219512,0.7300813008130081,0.0,0.0,0.0,0.0,0.21739130434782608,0.043478260869565216
Lasso,0.8821138211382114,0.7804878048780488,0.9471544715447154,0.9186991869918699,0.12195121951219512,0.7300813008130081,0.0,0.0,0.0,0.0,0.21739130434782608,0.043478260869565216
Ridge,0.8821138211382114,0.7804878048780488,0.9471544715447154,0.9186991869918699,0.1951219512195122,0.7447154471544716,0.0,0.0,0.0,0.0,0.23255813953488372,0.046511627906976744
XGB,0.8739837398373984,0.7682926829268293,0.9390243902439024,0.9186991869918699,0.6260162601626016,0.8252032520325203,0.06060606060606061,0.2597402597402597,0.0,0.3333333333333333,0.23333333333333334,0.1774025974025974
SVR,0.8821138211382114,0.7804878048780488,0.9471544715447154,0.9186991869918699,0.1910569105691057,0.7439024390243902,0.0,0.0,0.0,0.0,0.23166023166023167,0.04633204633204634
"Voting Ensemble Model, 1/6 weights",0.8821138211382114,0.7804878048780488,0.9471544715447154,0.9186991869918699,0.1951219512195122,0.7447154471544716,0.0,0.0,0.0,0.0,0.23255813953488372,0.046511627906976744
"Voting Ensemble Model, RF 0.7, XGB 0.3",0.8821138211382114,0.7682926829268293,0.9471544715447154,0.926829268292683,0.3902439024390244,0.7829268292682927,0.0,0.09523809523809523,0.0,0.25,0.23469387755102042,0.11598639455782314
Stacked Linear Regression Model,0.8821138211382114,0.7723577235772358,0.943089430894309,0.926829268292683,0.45934959349593496,0.7967479674796748,0.0,0.125,0.125,0.25,0.24858757062146894,0.1497175141242938
